expression,reading,meaning,tags,guid
徒歩,とほ,"걷기, 도보",JLPT_1 JLPT,Fjm7hAD%fu
土木,どぼく,토목 공사,JLPT_1 JLPT,jgd#[Gmw^^
とぼける,とぼける,"시치미(를) 떼다[따다], 시침(을) 떼다[따다]",JLPT_1 JLPT,HA39$4<O7S
乏しい,とぼしい,"빈약하다, 빈곤하다",JLPT_1 JLPT,"wt#tsoF,$N"
富,とみ,부,JLPT_1 JLPT,kl&?2R4Ul?
富む,とむ,풍부하다,JLPT_1 JLPT,Q?~wK|+t|p
共稼ぎ,ともかせぎ,맞벌이,JLPT_1 JLPT,"K<|&apg,,5"
伴う,ともなう,"대동하다, 동반하다, 수반하다",JLPT_1 JLPT,ntk-`u.Caj
共働き,ともばたらき,맞벌이,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,KsJK.WMk9k
ドライ,ドライ,드라이,JLPT_1 JLPT,uyF82nwuCT
ドライクリーニング,ドライクリーニング,드라이클리닝,JLPT_1 JLPT,hI<4F;7$M(
ドライバー,ドライバー,드라이버,JLPT_1 JLPT,JR*AC1{b!P
ドライブイン,ドライブイン,드라이브인,JLPT_1 JLPT,lGQ5H]umJ
トラブル,トラブル,말썽,JLPT_1 JLPT,fF~?5;]hHp
トランジスター,トランジスター,트랜지스터,JLPT_1 JLPT,G8*[Jm%i5[
とりあえず,とりあえず,"우선, 일단, 당분간",JLPT_1 JLPT,"A3E,EB~Q2G"
取扱,とりあつかい,취급,JLPT_1 JLPT,rBTr^DU*Cx
取り扱う,とりあつかう,다루다,JLPT_1 JLPT,f<xt2FJB#W
鳥居,とりい,도리이(신사 입구의 기둥문),JLPT_1 JLPT,bwgFGu0jgU
取り替え,とりかえ,"교환하다, 바꾸다",JLPT_1 JLPT,"LmK#s,9;im"
取り組む,とりくむ,"몰두하다, ...와 씨름하다; (스모에서) 맞붙다, 대전하다",JLPT_1 JLPT,FUhxb`Icnx
取締り,とりしまり,"통제, 단속, 감독",JLPT_1 JLPT,Nn_#J1j`cb
取り締まる,とりしまる,단속하다,JLPT_1 JLPT,u>YtS}dO87
取り調べる,とりしらべる,조사하다,JLPT_1 JLPT,"lTv.J/i,RR"
取り立てる,とりたてる,"등용하다, 발탁하다",JLPT_1 JLPT,u]pjW8@;4G
取り次ぐ,とりつぐ,바꾸다,JLPT_1 JLPT,h81vV]thLx
取り付ける,とりつける,설치하다,JLPT_1 JLPT,OLVn)Sl<l<
取り除く,とりのぞく,빼다,JLPT_1 JLPT,hNl.|rVPKI
取引,とりひき,거래,JLPT_1 JLPT,QK;D?PC(Iv
取り巻く,とりまく,둘러싸다,JLPT_1 JLPT,E%Fl$NJpIJ
取り混ぜる,とりまぜる,"뒤섞다, 섞다",JLPT_1 JLPT,Bo(wYaa}Ah
取り戻す,とりもどす,되찾다,JLPT_1 JLPT,pPlunQ{V=M
取り寄せる,とりよせる,(주문하거나 말하여) 가져오게 하다,JLPT_1 JLPT,M^8;v4K?HH
ドリル,ドリル,드릴,JLPT_1 JLPT,tLuvrWP-bR
副,とりわけ,"특히, 무엇보다도",JLPT_1 JLPT,I|~T6euZ&R
とろける,とろける,"녹다, 녹아내리다",JLPT_1 JLPT,zCt%1bEngS
鈍感,どんかん,둔감,JLPT_1 JLPT,AGgv#X94Iv
とんだ,とんだ,"뜻밖의, 터무니없는, 심한",JLPT_1 JLPT,H?67/UOJ%d
度忘れ,どわすれ,깜빡 잊음,JLPT_1 JLPT,O3@@XzGoQO
問屋,とんや,중간 상인,JLPT_1 JLPT,L]HWWc9|Rk
内閣,ないかく,내각,JLPT_1 JLPT,y)df|:D=Sq
乃至,ないし,"~까지, 또는",JLPT_1 JLPT,iAOF?Qa_8q
内緒,ないしょ,"비밀, 사생활, 비밀",JLPT_1 JLPT,u~2eY8N1H4
内心,ないしん,내심,JLPT_1 JLPT,qVMnXwPQkx
内蔵,ないぞう,내장,JLPT_1 JLPT,L]Dm~E_?j[
ナイター,ナイター,야간 경기,JLPT_1 JLPT,w71YMp^g^|
内部,ないぶ,내부,JLPT_1 JLPT,Qc_^Hv.8K<
内乱,ないらん,국란,JLPT_1 JLPT,"nyNNE_],O!"
内陸,ないりく,내륙,JLPT_1 JLPT,G}P5V$Jk?4
苗,なえ,모,JLPT_1 JLPT,D`y6b-_J-}
なおさら,なおさら,"한층, 더욱",JLPT_1 JLPT,D3]|seyAVE
流し,ながし,개수대,JLPT_1 JLPT,sUm$!Jp0[}
長々,ながなが,"길게, 장황하게",JLPT_1 JLPT,OTwM?YMLfQ
中程,なかほど,"중간, 중간 지점",JLPT_1 JLPT,A)F$iP@]z@
渚,なぎさ,"물가, 해변, 해안",JLPT_1 JLPT,zd22=yfA9n
嘆く,なげく,한탄하다,JLPT_1 JLPT,ilzJ;<!YjV
投げ出す,なげだす,"팽개치다, 던지다",JLPT_1 JLPT,vl-:<#dR[!
仲人,なこうど,중매쟁이,JLPT_1 JLPT,kknZLw#*&s
和やか,なごやか,온화함,JLPT_1 JLPT,EbN._V9![%
名残,なごり,잔영,JLPT_1 JLPT,oz>_]^qFZM
情け,なさけ,정,JLPT_1 JLPT,D|r~;|9R]k
情無い,なさけない,"한심하다, 딱하다, 부끄럽다",JLPT_1 JLPT,N<_jdqMHiS
情深い,なさけぶかい,"마음이 여린, 동정심 많은",JLPT_1 JLPT,P:u6w48-M4
詰る,なじる,힐책하다,JLPT_1 JLPT,m2ug%F|{:P
名高い,なだかい,이름나다,JLPT_1 JLPT,CAOqe%9eXa
雪崩,なだれ,눈사태,JLPT_1 JLPT,i|el8n-PMm
懐く,なつく,따르다,JLPT_1 JLPT,g];Z(M#sXQ
名付ける,なづける,명하다,JLPT_1 JLPT,NJQx_8`$@d
何気ない,なにげない,무심하다,JLPT_1 JLPT,GCR5kv%JGq
なにとぞ,なにとぞ,부디,JLPT_1 JLPT,lQ*Q=lmCB7
なにより,なにより,"무엇보다, 가장",JLPT_1 JLPT,Ifj=x)`!7.
ナプキン,ナプキン,냅킨,JLPT_1 JLPT,dY;w6ETO=:
名札,なふだ,명찰,JLPT_1 JLPT,"H,LzU#iC|r"
生臭い,なまぐさい,비리다,JLPT_1 JLPT,vDPDWlb?&h
生温い,なまぬるい,미적지근하다,JLPT_1 JLPT,G~a-u$_3U#
生身,なまみ,날고기,JLPT_1 JLPT,mdk5@{-d$q
鉛,なまり,납,JLPT_1 JLPT,clLq6d~d8L
滑らか,なめらか,"매끄러움, 부드러움",JLPT_1 JLPT,F~B/LW)1su
嘗める,なめる,핥다,JLPT_1 JLPT,"h&h,RaX>m("
悩ましい,なやましい,괴롭다; 매혹적이다,JLPT_1 JLPT,vf@^4N2dLC
悩ます,なやます,썩다,JLPT_1 JLPT,jR2E;(CfhM
悩み,なやみ,고민,JLPT_1 JLPT Genki_Ln.19 Genki,"rYH,[!J71-"
並びに,ならびに,및,JLPT_1 JLPT,Ny*4D`O(3Y
成り立つ,なりたつ,이루어지다,JLPT_1 JLPT,m1{^Hc5[&f
なるたけ,なるたけ,"가능한 한, 가능하다면",JLPT_1 JLPT,y(q.AD0L#F
慣れ,なれ,"익숙함, 숙련",JLPT_1 JLPT,j7[97Xg7/>
馴々しい,なれなれしい,"지나치게 친밀한, 버릇없는",JLPT_1 JLPT,shT?wsHw[_
～なんか,～なんか,"~따위, ~같은 것",JLPT_1 JLPT,d.Q@D)R`y/
ナンセンス,ナンセンス,말도 안 되는 소리,JLPT_1 JLPT,moW2Xjtt^+
何だか,なんだか,왠지,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,hYSEqVkL.V
なんだかんだ,なんだかんだ,"이러쿵저러쿵, 이래저래",JLPT_1 JLPT,Hjnd-`9LXB
なんなり,なんなり,"무엇이든, 무엇이든",JLPT_1 JLPT,w_?<3$dc`X
荷,に,짐,JLPT_1 JLPT,yqk%}[]JXT
似通う,にかよう,닮다,JLPT_1 JLPT,Dm9*/_j8S;
にきび,にきび,"여드름, 뾰루지",JLPT_1 JLPT,e&g:V:ku_]
賑わう,にぎわう,"붐비다, 번성하다",JLPT_1 JLPT,g#ovh${-3n
憎しみ,にくしみ,미움,JLPT_1 JLPT,QPkVwq]vjj
肉親,にくしん,육친,JLPT_1 JLPT,uWXLxRMJ+O
肉体,にくたい,"혈육, 고깃덩어리",JLPT_1 JLPT,gnN00<v<{9
逃げ出す,にげだす,빼다,JLPT_1 JLPT,fl)eIr9*lI
西日,にしび,서쪽에서 비치는 오후 햇볕,JLPT_1 JLPT,K3I7nq2l;L
滲む,にじむ,번지다,JLPT_1 JLPT,o9up<Sz=ve
にせ物,にせもの,"모조품, 위조품",JLPT_1 JLPT,A=&EK6O#1I
日夜,にちや,밤낮,JLPT_1 JLPT,i%dEbeqYtB
荷造り,にづくり,"포장, 짐 꾸리기",JLPT_1 JLPT,qOwG&WZKL2
担う,になう,"메다, 떠메다, 걸머지다",JLPT_1 JLPT,F#SgKxy?S*
鈍る,にぶる,무뎌지다,JLPT_1 JLPT,L.(Z=bmrwj
にも関わらず,にもかかわらず,에도 불구하고,JLPT_1 JLPT,KlWPE-D`h0
ニュアンス,ニュアンス,어감,JLPT_1 JLPT,LUTAFMalyV
ニュー,ニュー,새로운,JLPT_1 JLPT,"Gfvoid,rAZ"
入手,にゅうしゅ,입수,JLPT_1 JLPT,KYs]w;nq{f
入賞,にゅうしょう,입상,JLPT_1 JLPT,"QQ,s.4v3{f"
入浴,にゅうよく,입욕,JLPT_1 JLPT,K$j=e4Tdlp
尿,にょう,오줌,JLPT_1 JLPT,jT5|c!zG9i
認識,にんしき,인식,JLPT_1 JLPT,"sX|,Qiq}<w"
妊娠,にんしん,잉태,JLPT_1 JLPT,j|`SG%:20Y
任務,にんむ,임무,JLPT_1 JLPT,h6lc;]{2nu
任命,にんめい,임명,JLPT_1 JLPT,En]Zo|mh[y
抜かす,ぬかす,빼먹다,JLPT_1 JLPT,B_-9.@R#h`
抜け出す,ぬけだす,새다,JLPT_1 JLPT,pLSh/TV^OR
主,ぬし,주인,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,f$iPQS#{]6
沼,ぬま,"늪, 늪지",JLPT_1 JLPT,q-TqHFf#eJ
音色,ねいろ,음색,JLPT_1 JLPT,C=~bfd:qmo
値打ち,ねうち,"값, 값어치",JLPT_1 JLPT,s_}27&HmzM
ネガ,ネガ,(사진) 네거티브 필름,JLPT_1 JLPT,tRtoeF@*NA
寝かせる,ねかせる,눕히다,JLPT_1 JLPT,i8aC;^zTA&
ねじまわし,ねじまわし,드라이버,JLPT_1 JLPT,lC3$+z.Dp9
捩れる,ねじれる,"꼬이다, 뒤틀어지다",JLPT_1 JLPT,Shp4gNU#M
妬む,ねたむ,질투하다,JLPT_1 JLPT,LkwOsP2luZ
ねだる,ねだる,보채다,JLPT_1 JLPT,bqJI({hGlV
熱意,ねつい,열의,JLPT_1 JLPT,rd11dz%oP<
熱湯,ねっとう,끓는 물,JLPT_1 JLPT,yBQ@*k[rMd
熱量,ねつりょう,열량,JLPT_1 JLPT,yVC<gDS.Nb
粘り,ねばり,끈기,JLPT_1 JLPT,BvIS%RjDgh
粘る,ねばる,끈적거리다,JLPT_1 JLPT,q5idXyJ?~3
値引き,ねびき,에누리,JLPT_1 JLPT,ppHz}aRok7
根回し,ねまわし,"사전 교섭, 사전 준비",JLPT_1 JLPT,k|jB&4ScOn
眠たい,ねむたい,졸리다,JLPT_1 JLPT,A:U[i:g3Mu
練る,ねる,반죽하다,JLPT_1 JLPT,OcA{._U(He
念,ねん,"생각, 마음; 주의",JLPT_1 JLPT,uVWX2{yDLk
年賀,ねんが,새해 인사,JLPT_1 JLPT,P$?kkzx-4;
念願,ねんがん,염원,JLPT_1 JLPT,N2]ye^.%%-
年号,ねんごう,연호,JLPT_1 JLPT,bLo0`T)GZr
燃焼,ねんしょう,연소,JLPT_1 JLPT,zKpI9!^gxJ
年長,ねんちょう,연상,JLPT_1 JLPT,L5;%C?!rKM
燃料,ねんりょう,연료,JLPT_1 JLPT,rltcX_fvi[
年輪,ねんりん,나이테,JLPT_1 JLPT,b+fwXle>0o
ノイローゼ,ノイローゼ,노이로제,JLPT_1 JLPT,"J+@dVGG,?/"
農耕,のうこう,농경,JLPT_1 JLPT,s|V;EQ<DFG
農場,のうじょう,농장,JLPT_1 JLPT,f{r<5W&Bpu
農地,のうち,농토,JLPT_1 JLPT,gFlV*(m#WE
納入,のうにゅう,"납입, 불입",JLPT_1 JLPT,K9YdM1s/F>
逃す,のがす,놓치다,JLPT_1 JLPT,cfjj1lW1R
逃れる,のがれる,면하다,JLPT_1 JLPT,ur0/yS?G.F
軒並,のきなみ,집들이 늘어서 있음; 하나같이,JLPT_1 JLPT,gYh0C^=J<1
望ましい,のぞましい,"바람직하다, 바람직스럽다",JLPT_1 JLPT,O~bUfdZRZc
乗っ取る,のっとる,"점령하다, 점유하다, 장악하다",JLPT_1 JLPT,D>275*`Xs9
のどか,のどか,"고요한, 평온한, 조용한",JLPT_1 JLPT,IT.<Z@]SZ.
罵る,ののしる,"욕하다, 욕질하다",JLPT_1 JLPT,o]7]HcCGpH
延べ,のべ,연,JLPT_1 JLPT,Eb3R}G~vq&
飲み込む,のみこむ,"삼키다, 집어삼키다",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,fwLCsj3c:^
乗り込む,のりこむ,"올라타다, 오르다",JLPT_1 JLPT,"P^t~AIQ,:b"
刃,は,칼날,JLPT_1 JLPT,s8NuMFbIpb
～派,～は,파,JLPT_1 JLPT,qMeKLND8O$
バー,バー,술집,JLPT_1 JLPT,xD;./&*C~}
把握,はあく,파악,JLPT_1 JLPT,DFve{Ag1B(
パート,パート,파트타임,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,OK)Lf1Yk5g
廃棄,はいき,폐기,JLPT_1 JLPT,"t,]x!4!SsB"
配給,はいきゅう,배급,JLPT_1 JLPT,BIJAh&96+q
ばい菌,ばいきん,"박테리아, 세균",JLPT_1 JLPT,F@%B4+?fE|
配偶者,はいぐうしゃ,배우자,JLPT_1 JLPT,j5as3|4RM2
拝啓,はいけい,"근계, 삼가 아룀",Intermediate_Japanese_Ln.4 JLPT_1 JLPT Intermediate_Japanese,+.sAx2wLV
背景,はいけい,배경,JLPT_1 JLPT,B;EWwcKw8a
背後,はいご,배후,JLPT_1 JLPT,"l$UvE^.,2i"
廃止,はいし,혁파,JLPT_1 JLPT,"D{,71BeMS8"
拝借,はいしゃく,빌림(겸양어),JLPT_1 JLPT,"w!,O.|Pr}V"
排除,はいじょ,배제,JLPT_1 JLPT,"e(cIaHsE,F"
賠償,ばいしょう,배상,JLPT_1 JLPT,i0;;9:0(Yb
排水,はいすい,배수,JLPT_1 JLPT,CI{]`I5(&E
敗戦,はいせん,패전,JLPT_1 JLPT,JSMF6y%Lj~
配置,はいち,배치,JLPT_1 JLPT,wZ<r/Id^hw
配布,はいふ,배포,JLPT_1 JLPT,j3UYv2B1e{
配分,はいぶん,분배,JLPT_1 JLPT,sPEejO/d9<
敗北,はいぼく,패배,JLPT_1 JLPT,#VALUE!
倍率,ばいりつ,배율,JLPT_1 JLPT,h`ahPtUY;b
配慮,はいりょ,배려,JLPT_1 JLPT,poW=.ChJSm
配列,はいれつ,배열,JLPT_1 JLPT,cC<!?;J:<g
破壊,はかい,파괴,JLPT_1 JLPT,v!Zp^6YAqE
いたわる,いたわる,"공감하다, 위로하다, 돌보다",JLPT_1 JLPT,wcGai|q>xT
一概に,いちがいに,"일률적으로, 무조건",JLPT_1 JLPT,hLV>poM3Dq
著しい,いちじるしい,두드러지다,JLPT_1 JLPT,"kPPz=m,gRR"
一同,いちどう,일동,JLPT_1 JLPT,O|v*CB_J$V
一部分,いちぶぶん,일부분,JLPT_1 JLPT,kC:AyoQ(VZ
一別,いちべつ,이별,JLPT_1 JLPT,P}9Ns5lV8E
一面,いちめん,일면,JLPT_1 JLPT,Nx0OsZUH*E
一目,いちもく,한눈,JLPT_1 JLPT,saAg*cc00y
一様,いちよう,"균일한, 비슷한, 같은",JLPT_1 JLPT,4Npj$}s^v
一律,いちりつ,일률,JLPT_1 JLPT,s7Bp#3`c^s
一連,いちれん,일련,JLPT_1 JLPT,"K`?fU[;],#"
一括,いっかつ,한목,JLPT_1 JLPT,hhovzuJKNB
一気,いっき,"한숨, 단숨",JLPT_1 JLPT,CgBD$%2<51
一挙に,いっきょに,단번에,JLPT_1 JLPT,F:IKX%#S}~
一見,いっけん,일견,JLPT_1 JLPT,NZ6>sHobC*
一切,いっさい,일절,JLPT_1 JLPT,v}WLTgJ@1I
一心,いっしん,한마음,JLPT_1 JLPT,cClq^_-/LZ
いっそ,いっそ,차라리,JLPT_1 JLPT,Ii]&B%6J^H
一変,いっぺん,일변,JLPT_1 JLPT,ek#.`h}8]>
意図,いと,의도,JLPT_1 JLPT,"Nv%*-6B!(,"
営む,いとなむ,영위하다,JLPT_1 JLPT,DwKEu03*|H
挑む,いどむ,도전하다,JLPT_1 JLPT,c_-t#iEGZZ
稲光,いなびかり,번개,JLPT_1 JLPT,c#^JVd1}UB
祈り,いのり,기도,JLPT_1 JLPT,Ma]tANx6d6
いびき,いびき,코골이,JLPT_1 JLPT,C/{&bugX+}
今更,いまさら,새삼스럽다,JLPT_1 JLPT,hj*29Ug#1R
未だ,いまだ,"아직, 여전히",JLPT_1 JLPT,p:dli@Jl!z
移民,いみん,이민자,JLPT_1 JLPT,CLJ[Ns`Z6Z
嫌々,いやいや,마지못해,JLPT_1 JLPT,QjHKtey?XJ
卑しい,いやしい,"상스럽다, 천하다",JLPT_1 JLPT,vBh9gD/$!+
いやに,いやに,"끔찍하게, 몹시",JLPT_1 JLPT,qpdLL_V*P#
いやらしい,いやらしい,"불쾌한, 역겨운, 부적절한",JLPT_1 JLPT,D<T6@Y-YD4
意欲,いよく,의욕,JLPT_1 JLPT,Fq(`u%{Obm
威力,いりょく,위력,JLPT_1 JLPT,r5er8dT<)9
衣類,いるい,의류,JLPT_1 JLPT,QbNSCWqQ4!
異論,いろん,이론,JLPT_1 JLPT,A?E^7mu[K@
印鑑,いんかん,인감도장,JLPT_1 JLPT,cTR~#z|<0M
陰気,いんき,음기,JLPT_1 JLPT,A-+&-Fy%1r
隠居,いんきょ,은거,JLPT_1 JLPT,b^vje[Ox#X
インターチェンジ,インターチェンジ,"나들목, 인터체인지",JLPT_1 JLPT,"rBKXdv$/G,"
インターナショナル,インターナショナル,국제적인,JLPT_1 JLPT,JmV&U~p0X$
インターフォン,インターフォン,인터폰,JLPT_1 JLPT,AO3rDw-;8U
インテリ,インテリ,지식인,JLPT_1 JLPT,piGc%@]7]l
インフォメーション,インフォメーション,정보,JLPT_1 JLPT,KO4Fli5w!*
インフレ,インフレ,인플레이션,JLPT_1 JLPT,QC}1+m@@J*
受かる,うかる,붙다,JLPT_1 JLPT,gIq*pkmfp{
受け入れ,うけいれ,포옹,JLPT_1 JLPT,j&5piEC:H:
受け入れる,うけいれる,받다,JLPT_1 JLPT,i_JCrJB_9E
受け継ぐ,うけつぐ,"물려받다, 이어받다",JLPT_1 JLPT,x6H#Y*OpNS
受け付ける,うけつける,접수하다,JLPT_1 JLPT,wJiQ/5Nn/x
受け止める,うけとめる,받다,JLPT_1 JLPT,kQB/rB@6#x
受身,うけみ,수동,JLPT_1 JLPT,AB05ev+c>K
受持ち,うけもち,"담당, 맡은 일",JLPT_1 JLPT,"DiB3?u$z,A"
動き,うごき,움직임,JLPT_1 JLPT,u]mcX[(LyK
埋める,うずめる,묻다,JLPT_1 JLPT,s1}PR|XGjV
嘘つき,うそつき,거짓말쟁이,JLPT_1 JLPT,huy&f$4B!!
うたた寝,うたたね,노루잠,JLPT_1 JLPT,g>}T9.Ly4K
打ち明ける,うちあける,털어놓다,JLPT_1 JLPT,m>OKlxKk@!
打ち切る,うちきる,"중단하다, 끝내다",JLPT_1 JLPT,NY3MFaZc*o
打ち消し,うちけし,부정,JLPT_1 JLPT,FFlOc.L!8+
打ち込む,うちこむ,박다,JLPT_1 JLPT,"iV,JA!*tZ)"
団扇,うちわ,부채,JLPT_1 JLPT,AXix@CPuvn
内訳,うちわけ,내역,JLPT_1 JLPT,"kc.tS5mj},"
写し,うつし,사본,JLPT_1 JLPT,o]mr>S?=4H
訴え,うったえ,(민사) 소송,JLPT_1 JLPT,L0%2@MBXxQ
うっとうしい,うっとうしい,"답답하다, 성가시다",JLPT_1 JLPT,D_nkEIxjCi
うつむく,うつむく,"아래를 내려다보다, 굽히다",JLPT_1 JLPT,vZ9f:pDf9{
空ろ,うつろ,공,JLPT_1 JLPT,gT)UMo=-nJ
器,うつわ,그릇,JLPT_1 JLPT,wCFSLHrDCy
腕前,うでまえ,기능,JLPT_1 JLPT,M#fh/cwlNl
雨天,うてん,비 오는 날씨,JLPT_1 JLPT,w*!:re!1<+
促す,うながす,촉구하다,JLPT_1 JLPT,wV^GWyWg_j
うぬぼれ,うぬぼれ,"허세, 자만, 교만",JLPT_1 JLPT,m]YR4b{=@z
生まれつき,うまれつき,생득적,JLPT_1 JLPT,vf1rqkwzEV
埋め込む,うめこむ,"파묻다, 삽입하다",JLPT_1 JLPT,xua#+HlIBN
梅干し,うめぼし,우메보시(소금에 절인 매실),JLPT_1 JLPT,y[D$6jL9AV
裏返し,うらがえし,"뒤집음, 안팎이 반대",JLPT_1 JLPT,x!`i3g6fj/
売り出し,うりだし,(할인) 판매,JLPT_1 JLPT,e#9|l1/ymz
売り出す,うりだす,"판매하다, 시장에 내놓다",JLPT_1 JLPT,gIddcx*`Ct
潤う,うるおう,해갈되다,JLPT_1 JLPT,iEM[52wf::
浮気,うわき,"바람, 외도",JLPT_1 JLPT,niMRrvhuXD
上回る,うわまわる,상회하다,JLPT_1 JLPT,xvIWa_An&S
植わる,うわる,심어지다,JLPT_1 JLPT,q/mwW_I)&k
運営,うんえい,운영,JLPT_1 JLPT,m*%9#Uxp/F
うんざり,うんざり,지긋지긋,JLPT_1 JLPT,G<U}3bYTX=
運送,うんそう,운송,JLPT_1 JLPT,DH/^v}5V5H
運賃,うんちん,운임,JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese,"OS<,k|.D(5"
云々,うんぬん,"등등, 기타 등등",JLPT_1 JLPT,LiOOViPg]s
運搬,うんぱん,운반,JLPT_1 JLPT,KHqZvxZ@6.
運命,うんめい,운명,JLPT_1 JLPT,l3_#00|#9V
運輸,うんゆ,"운수, 수송",JLPT_1 JLPT,"M~H0atu}?,"
運用,うんよう,운용,JLPT_1 JLPT,P{!{:>o!_q
エアメール,エアメール,항공 우편,JLPT_1 JLPT,q`%AC;;9Ta
～営,～えい,"~경영, ~운영",JLPT_1 JLPT,dP^UCy0C~l
英字,えいじ,"영자, 영문자",JLPT_1 JLPT,"J1lN,M8$1h"
映写,えいしゃ,"영사, 상영",JLPT_1 JLPT,x`Mnz)m&qb
映像,えいぞう,영상,JLPT_1 JLPT,m?:Se-SQN4
英雄,えいゆう,영웅,JLPT_1 JLPT,lpc:AiI>>Z
液,えき,액,JLPT_1 JLPT,r(jP%;ZEI5
閲覧,えつらん,열람,JLPT_1 JLPT,hDsmHpZ7Os
獲物,えもの,사냥감,JLPT_1 JLPT,5*sGNpi>A
襟,えり,"깃, 옷깃",JLPT_1 JLPT,tRB]@ee=lY
エレガント,エレガント,우아한,JLPT_1 JLPT,efgo>`$5}C
円滑,えんかつ,원활,JLPT_1 JLPT,Kb_Dvgh:lA
縁側,えんがわ,골마루,JLPT_1 JLPT,wyHg^[mZl2
沿岸,えんがん,연안,JLPT_1 JLPT,AovU9kG]Un
婉曲,えんきょく,간접적,JLPT_1 JLPT,G;:<3(vTfF
演出,えんしゅつ,연출,JLPT_1 JLPT,"wf^,)@RdCb"
エンジニア,エンジニア,엔지니어,JLPT_1 JLPT,B{mLrpXMY9
演じる,えんじる,놀다,JLPT_1 JLPT,"w/:3TeD,r|"
演ずる,えんずる,"연기하다, 맡다",JLPT_1 JLPT,D7;+x/XKhh
沿線,えんせん,"철도 연선, 철길 주변",JLPT_1 JLPT,ALo8teWhD7
縁談,えんだん,혼담,JLPT_1 JLPT,noJgGKIj8x
遠方,えんぽう,먼 곳의 장소,JLPT_1 JLPT,OzC<9.M=Ar
円満,えんまん,"원만함, 화목함",JLPT_1 JLPT,Ct:pLi;{3A
追い込む,おいこむ,몰아넣다,JLPT_1 JLPT,AR1qUDM@P)
追い出す,おいだす,내쫓다,JLPT_1 JLPT,"riRN3`p,`k"
於いて,おいて,"~에, ~안에, ~위에",JLPT_1 JLPT,ijyE>WQ}KT
老いる,おいる,늙다,JLPT_1 JLPT,Fq*tJ8V7V$
応急,おうきゅう,응급,JLPT_1 JLPT,P7w*v4FZJr
黄金,おうごん,금,JLPT_1 JLPT,mYt_k*xkZ.
往診,おうしん,왕진,JLPT_1 JLPT,KYeqnnZ=-9
応募,おうぼ,응모,JLPT_1 JLPT,b[VDDlfAs0
おおい (かん),おおい (かん),"어이!, 여보!",JLPT_1 JLPT,"oI,HaDOI/S"
大方,おおかた,"거의 모두, 대다수",JLPT_1 JLPT,xJaUka+CN:
大柄,おおがら,큰 체격; 큰 무늬,JLPT_1 JLPT,"GWS,d=cM(:"
おおげさ,おおげさ,"과장됨, 과장된",JLPT_1 JLPT,oddUsiCw^V
大筋,おおすじ,"개요, 요약",JLPT_1 JLPT,Hs`P|H+T!]
大空,おおぞら,넓은 하늘,JLPT_1 JLPT,x&4e(F[|Hd
オートマチック,オートマチック,오토매틱,JLPT_1 JLPT,Ma<]_+LJWL
大幅,おおはば,대폭,JLPT JLPT_1 MediaMissing,c`*FbFL7!*
おおまかな,おおまかな,"대략적, 개괄적",JLPT_1 JLPT,h|xK)[LK#`
大水,おおみず,큰물,JLPT_1 JLPT,lHnH3YrPE%
公,おおやけ,공,JLPT_1 JLPT,oI.<`;>b`b
犯す,おかす,범하다,JLPT_1 JLPT,r}qWP|]B{j
侵す,おかす,"범하다, 침범하다",JLPT_1 JLPT,JP!&.Z9_)1
臆病,おくびょう,"겁이 많음, 소심함",JLPT_1 JLPT,DR9F4{>w8i
遅らす,おくらす,늦추다,JLPT_1 JLPT,BxX=0Td:Ra
厳か,おごそか,"엄숙하다, 장엄하다",JLPT_1 JLPT,k^}q{Z*:ZU
行い,おこない,행실,JLPT_1 JLPT,EPt}Y|moZw
おごる (ゆうしょくを～),おごる (ゆうしょくを～),"대접하다, 한턱내다",JLPT_1 JLPT,nplO^(LG?d
収まる,おさまる,제자리에 들어가다; 진정되다,JLPT_1 JLPT,blHU8/+m@I
納まる,おさまる,제자리에 들어가다; 진정되다; 납부되다,JLPT_1 JLPT,cv8FX+R{$0
治まる,おさまる,잦아지다,JLPT_1 JLPT,vn/~]L;$eG
お産,おさん,출산,JLPT_1 JLPT,euz]Ka!XAe
押し切る,おしきる,자기 뜻대로 하다,JLPT_1 JLPT,djU<$hJj6~
押し込む,おしこむ,틀어넣다,JLPT_1 JLPT,xrb|Hb|isj
惜しむ,おしむ,아끼다,JLPT_1 JLPT,eSj?}z3f2/
押し寄せる,おしよせる,"밀어붙이다, 한쪽으로 몰다",JLPT_1 JLPT,G6S^.J|&^/
雄,おす,수놈,JLPT_1 JLPT,gZ*7YqB0w(
御世辞,おせじ,"아첨, 칭찬",JLPT_1 JLPT,d$tF`<~=wO
襲う,おそう,공격하다,JLPT_1 JLPT,d*HJIF;zrC
遅くとも,おそくとも,늦어도,JLPT_1 JLPT,"p,08OPe)d%"
恐れ,おそれ,두려움,JLPT_1 JLPT,mG1{:BxE;
恐れ入る,おそれいる,"송구스럽다, 송구하다",JLPT_1 JLPT,o7$@i&/e=j
