expression,reading,meaning,tags,guid
作業,さぎょう,작업,JLPT JLPT_2 JLPT_3,b=vHpFfwSZ
裂く,さく,쪼개다,JLPT JLPT_2 JLPT_3,LDUwnq~#Q?
昨,さく,"지난 (년도), 어제",JLPT JLPT_2 JLPT_3,GL+Y)4yXcS
作品,さくひん,작품,JLPT JLPT_2 JLPT_3,MGr8G06#z_
作物,さくもつ,농산물,JLPT JLPT_2 JLPT_3,p(LSOs6uw7
桜,さくら,벚나무,JLPT JLPT_2 JLPT_3,Jm^a%*`E!g
酒,さけ,술,JLPT JLPT_2 JLPT_3,t}%j30SHEF
叫ぶ,さけぶ,외치다,JLPT JLPT_2 JLPT_3,E5;W<1MI2|
避ける,さける,피하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,QIaY:U+_Wa
支える,ささえる,뒷바라지하다,JLPT JLPT_2 JLPT_3,e#(-!es11Q
刺さる,ささる,꽂히다,JLPT JLPT_2 JLPT_3,di2BW%43-n
刺す,さす,찌르다,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,e48t5Q~CL_
指す,さす,가리키다,JLPT JLPT_2 JLPT_3,k`e;TAGgko
挿す,さす,꽂다,JLPT JLPT_2 JLPT_3,"MY60EU`x,H"
注す,さす,치다,JLPT JLPT_2 JLPT_3,qH4&#`}]gG
射す,さす,나다,JLPT JLPT_2 JLPT_3,u.)8@5Yw87
座席,ざせき,"자리, 좌석",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,"tDVi}8QLX,"
誘う,さそう,충동하다,Genki_Ln.15 Intermediate_Japanese JLPT JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7 Genki,t@[{w{yfI4
札,さつ,-권,JLPT JLPT_2 JLPT_3,wTy^V@~}^O
作家,さっか,작가,JLPT JLPT_2 JLPT_3,BKI1ycChW6
作曲,さっきょく,작곡,JLPT JLPT_2 JLPT_3,Io0i{.3D4v
ざっと,ざっと,"대충, 슬쩍",JLPT JLPT_2 JLPT_3,"l]%gAJA,OM"
さっぱり,さっぱり,시원히,JLPT JLPT_2 JLPT_3,"f,Wl.Ci0`l"
さて,さて,가만있다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,LIh4>dp+/=
砂漠,さばく,사막,JLPT JLPT_2 JLPT_3,kKUmiT9F9W
差別,さべつ,차별,JLPT JLPT_2 JLPT_3,dyD!/ON4A8
ママ,ママ,엄마,JLPT JLPT_2 JLPT_3,zyZFReMUU6
豆,まめ,콩,JLPT JLPT_2 JLPT_3,GoM5kwLZ`E
守る,まもる,지키다,JLPT JLPT_2 JLPT_3,KIn|zt16*V
迷う,まよう,방황하다,JLPT JLPT_2 JLPT_3,L;:4YYq`)5
丸,まる,"공, 동그라미",JLPT JLPT_2 JLPT_3,Q)LW*l-M`[
円,まる,"(화폐 단위) 엔; 원, 동그라미",JLPT JLPT_2 JLPT_3,c11Q@w}#J~
まるで,まるで,꼭,JLPT JLPT_2 JLPT_3,nQ6e%/X<.r
万一,まんいち,혹시,JLPT JLPT_2 JLPT_3,H0H9j9*ddg
満足,まんぞく,만족,JLPT JLPT_2 JLPT_3,Qfyuj9^wer
身,み,몸뚱이,JLPT JLPT_2 JLPT_3,FD}%mUxg1n
実,み,열매,JLPT JLPT_2 JLPT_3,j`zE[mIWkt
見送り,みおくり,전송,JLPT JLPT_2 JLPT_3,"zL,W$(?WXy"
味方,みかた,"동맹, 지지자",JLPT JLPT_2 JLPT_3,EF85/VL>m_
見事,みごと,"훌륭한, 웅장한",JLPT JLPT_2 JLPT_3,FG5RYvwId;
ミス,ミス,"미스, 실수",JLPT_1 JLPT JLPT_2 JLPT_3,h#^4pNfLXB
満ちる,みちる,차다,JLPT JLPT_2 JLPT_3,u[~LhQX)13
密,みつ,"조밀함, 빽빽함",JLPT JLPT_2 JLPT_3,Q7s<b_//qW
認める,みとめる,승인하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13 Intermediate_Japanese_Ln.3,"JetA%b8l~,"
見舞い,みまい,위문,JLPT JLPT_2 JLPT_3,nw{(:&zpou
土産,みやげ,기념품,JLPT JLPT_2 JLPT_3,z~]qvc)tb[
都,みやこ,"도읍, 도읍지",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,B3uIy2Ddpn
妙,みょう,묘,JLPT JLPT_2 JLPT_3,LNAQ6Xt7x$
明後日,みょうごにち,모레,JLPT JLPT_2 JLPT_3,vq>.q}^O]P
未来,みらい,미래,JLPT JLPT_2 JLPT_3,Ghk@nVs)kS
魅力,みりょく,매력,JLPT JLPT_2 JLPT_3,w{[H?`kNh]
診る,みる,보다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Ap.|xWc<xg
ミルク,ミルク,우유,JLPT JLPT_2 JLPT_3,rW2yU+[.3;
無,む,무,JLPT JLPT_2 JLPT_3,M/]]Gfu|C<
向かい,むかい,맞은편,JLPT JLPT_2 JLPT_3,v-M][z30<G
迎え,むかえ,마중,JLPT JLPT_2 JLPT_3,M.JFq}D{XW
向く,むく,안다,JLPT JLPT_2 JLPT_3,"B?VOe(a,ck"
剥く,むく,까다,JLPT JLPT_2 JLPT_3,O9G!=VsU$R
向ける,むける,향하다,JLPT JLPT_2 JLPT_3,O0#L}~28:p
無視,むし,무시,JLPT JLPT_2 JLPT_3,"H?.,UKB|]n"
蒸し暑い,むしあつい,찌다,JLPT JLPT_2 JLPT_3,b:SYmm(y*W
虫歯,むしば,충치,JLPT JLPT_2 JLPT_3,p^*~90tI~;
寧ろ,むしろ,오히려,JLPT JLPT_2 JLPT_3,iKd&nF*kp>
蒸す,むす,찌다,JLPT JLPT_2 JLPT_3,A8e|Klqr_`
結ぶ,むすぶ,묶다,JLPT JLPT_2 JLPT_3,ymg7!.{d0`
無駄,むだ,"무익함, 무용지물",JLPT JLPT_2 JLPT_3,f?04M}_6S/
夢中,むちゅう,꿈결,JLPT JLPT_2 JLPT_3,c*kD_bu37.
胸,むね,젖가슴,JLPT JLPT_2 JLPT_3,yLcSyJ#.nc
無料,むりょう,무료,JLPT JLPT_2 JLPT_3,JN6`<L^h|2
芽,め,싹,JLPT JLPT_2 JLPT_3,"j,J}0*}#hN"
明確,めいかく,명확한,JLPT JLPT_2 JLPT_3,DCM(3>-lRK
名刺,めいし,명함,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,K3cZp`gUUo
名詞,めいし,명사,JLPT JLPT_2 JLPT_3,iPorDGRE(|
命じる,めいじる,명하다. 명령하다,JLPT JLPT_2 JLPT_3,qg|.+Szu_I
名人,めいじん,명인,JLPT JLPT_2 JLPT_3,Fni-n$8WrW
命令,めいれい,"명령, 지시",JLPT JLPT_2 JLPT_3,KKSB-pS%yq
迷惑,めいわく,"폐, 누",JLPT JLPT_2 JLPT_3,"i.t)w,3ng-"
目上,めうえ,손위,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,oNjcNV)ff[
飯,めし,밥,JLPT JLPT_2 JLPT_3,IWA[~#BL^U
滅多に,めったに,좀처럼 ~않다,JLPT JLPT_2 JLPT_3,j)#=ex#L)O
メモ,メモ,쪽지,JLPT JLPT_2 JLPT_3,"skJ)D[(,@."
面,めん,쪽,JLPT JLPT_2 JLPT_3,"w,_Ik;ZYes"
綿,めん,면,JLPT JLPT_2 JLPT_3,zi)_)]=$49
免許,めんきょ,면허,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,giqsadF8[_
面接,めんせつ,면접,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki Genki_Ln.23 Intermediate_Japanese_Ln.3,"G{,..f)t;T"
面倒,めんどう,귀찮음. 성가심,JLPT JLPT_2 JLPT_3,jarwg?`xYM
メンバー,メンバー,"단원, 멤버",JLPT JLPT_2 JLPT_3,ioP<e}C#*T
申し込む,もうしこむ,신청하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,p-@iqxnx(*
申し訳,もうしわけ,"변명, 해명",JLPT JLPT_2 JLPT_3,"w0A,13h@XG"
毛布,もうふ,담요,JLPT JLPT_2 JLPT_3,G|6QSL6HzW
燃える,もえる,"타다, 피다",JLPT JLPT_2 JLPT_3,C2}(_d=*8]
目的,もくてき,목적,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,"FrxXy0,/EI"
目標,もくひょう,목표,JLPT JLPT_2 JLPT_3,eD#(2kEfi#
文字,もじ,"글, 글씨",JLPT JLPT_2 JLPT_3,v{bw_z2KT.
文字,もんじ,문자,JLPT JLPT_2 JLPT_3,i}R1C0Kg[i
もしかすると,もしかすると,"혹, 혹시나",JLPT JLPT_2 JLPT_3,E_gTNRA!W1
もしも,もしも,만약,JLPT JLPT_2 JLPT_3,Q41Ox`49(P
持ち上げる,もちあげる,추어올리다,JLPT JLPT_2 JLPT_3,Ck3.ZXZ[6p
用いる,もちいる,쓰다,JLPT JLPT_2 JLPT_3,so5H6d<zN+
もったいない,もったいない,과분하다,JLPT JLPT_2 JLPT_3,yewBxbz7]I
尤も,もっとも,"당연함, 지당함",JLPT JLPT_2 JLPT_3,A>F:Ft1w22
元,もと,원-,JLPT JLPT_2 JLPT_3,"O)La7,`]AY"
基,もと,밑,JLPT JLPT_2 JLPT_3,Icp_M75Xpg
素,もと,"근원, 재료, 바탕",JLPT JLPT_2 JLPT_3,yGr3{oX4%H
戻す,もどす,되돌리다,JLPT JLPT_2 JLPT_3,PmY(.gc-w+
基づく,もとづく,의거하다,JLPT JLPT_2 JLPT_3,I&bTc?WHhL
求める,もとめる,구하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,lJ&@p010:m
者,もの,사람,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,vAI([v0H/E
物音,ものおと,소리,JLPT JLPT_2 JLPT_3,hL<`ZEm#E^
物語,ものがたり,이야기,JLPT JLPT_2 JLPT_3,b2F39/cX@{
物事,ものごと,"사물, 용무",JLPT JLPT_2 JLPT_3,JYu;9)KWYP
燃やす,もやす,"태우다, 불태우다",JLPT JLPT_2 JLPT_3,h5FjFnJT{r
模様,もよう,무늬,JLPT JLPT_2 JLPT_3,DCW6|C<9T)
文句,もんく,두말,JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.21 Intermediate_Japanese_Ln.11,"q,87=b37fY"
やがて,やがて,"곧, 이윽고",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,nlnms.mL_|
役,やく,역할,JLPT JLPT_2 JLPT_3,sc=i9?h^tQ
約,やく,약,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,L31l;C5Xp=
訳,やく,이유,JLPT JLPT_2 JLPT_3,CmgPQjblgT
訳す,やくす,번역하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,Cj2Ni~H!BW
役割,やくわり,"구실, 노릇",JLPT JLPT_2 JLPT_3,"jj*z,nk6$Z"
家賃,やちん,방세,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,Og7<v^:R8@
厄介,やっかい,신세,JLPT JLPT_2 JLPT_3,O_#+8qFx*C
宿,やど,"숙소, 여관",JLPT JLPT_2 JLPT_3,F8A%9EzpfO
雇う,やとう,쓰다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,fsV)jU5lVf
屋根,やね,지붕,JLPT JLPT_2 JLPT_3,K@]5qy=.%v
破る,やぶる,패배시키다,JLPT JLPT_2 JLPT_3,Hc|1rO==::
破れる,やぶれる,미어지다,JLPT JLPT_2 JLPT_3,Q>N&s5^Kb%
辞める,やめる,들어앉다,JLPT JLPT_2 JLPT_3,J|2c^zFs0y
やや,やや,다소,JLPT JLPT_2 JLPT_3,OikgR+nKY0
唯一,ゆいいつ,유일,JLPT JLPT_2 JLPT_3,mNuH=kxM-E
勇気,ゆうき,용기,JLPT JLPT_2 JLPT_3,z0tdm#]12w
友好,ゆうこう,우호,JLPT JLPT_2 JLPT_3,qSk@+t:._p
有効,ゆうこう,유효,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,iL.?i)%fKm
優秀,ゆうしゅう,우수,JLPT JLPT_2 JLPT_3,O^v!ja{$6}
優勝,ゆうしょう,우승,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,Gxir)F$3h;
友情,ゆうじょう,우의,JLPT JLPT_2 JLPT_3,hpnSza2$^g
友人,ゆうじん,친구,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.2,iE%IT=Qp]>
有能,ゆうのう,"유능한, 능력 있는, 효율적인",JLPT JLPT_2 JLPT_3,P0&QeU;_J8
郵便,ゆうびん,"우편, 우편물",JLPT JLPT_2 JLPT_3,y1Pm-8jy]k
ユーモア,ユーモア,해학,JLPT JLPT_2 JLPT_3,df%[k|%u*+
有利,ゆうり,유리,JLPT JLPT_2 JLPT_3,H]2^aHqq32
床,ゆか,바닥,JLPT JLPT_2 JLPT_3,lG~]%rmVy|
愉快,ゆかい,유쾌,JLPT JLPT_2 JLPT_3,"o,+Kowdko`"
譲る,ゆずる,"내주다, 물리다",JLPT JLPT_2 JLPT_3,Hvg@/iJB}O
豊か,ゆたか,"풍부함, 풍성함",JLPT JLPT_2 JLPT_3,"d9lbZ0yM,{"
茹でる,ゆでる,삶다,JLPT JLPT_2 JLPT_3,vocx6RiGG7
許す,ゆるす,허락하다,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,jUZ.+k2dQs
夜,よ,밤,JLPT JLPT_2 JLPT_3,O|UO#;VR|i
夜明け,よあけ,새벽녘,JLPT JLPT_2 JLPT_3,P]gvvnr3UX
酔う,よう,취하다,JLPT JLPT_2 JLPT_3,Nw#Iv9NMME
容易,ようい,용이; 용이한,JLPT JLPT_2 JLPT_3,P+bB1Di`Ky
容器,ようき,용기,JLPT JLPT_2 JLPT_3,iaea{|Cg@:
陽気,ようき,양기,JLPT JLPT_2 JLPT_3,u51di;kV4W
要求,ようきゅう,요구,JLPT JLPT_2 JLPT_3,nvC?4QsNf}
用心,ようじん,조심,JLPT JLPT_2 JLPT_3,Flc5De-&7.
様子,ようす,모양,JLPT JLPT_2 JLPT_3,A7/`ZQ{`>8
要するに,ようするに,요컨대,JLPT JLPT_2 JLPT_3,FOjPBhXtfP
要素,ようそ,요소,JLPT JLPT_2 JLPT_3,GZk%&=rm6%
要点,ようてん,요점,JLPT JLPT_2 JLPT_3,Qs5wBsMZ.}
曜日,ようび,요일,JLPT JLPT_2 JLPT_3,H-|U<zuUTq
ヨーロッパ,ヨーロッパ,유럽,JLPT JLPT_2 JLPT_3,cEJaT(aXg
予期,よき,예상,JLPT JLPT_2 JLPT_3,k(Z/4d8ciX
横切る,よこぎる,횡단하다,JLPT JLPT_2 JLPT_3,ba+_Ekz}4>
汚す,よごす,더럽히다,JLPT JLPT_2 JLPT_3,gASRu}ar&]
予算,よさん,예산,JLPT JLPT_2 JLPT_3,k15uOKT$nk
止す,よす,그만두다,JLPT JLPT_2 JLPT_3,g87)Rqp|@G
寄せる,よせる,붙이다,JLPT JLPT_2 JLPT_3,M9{&7Gc5&~
予測,よそく,예측,JLPT JLPT_2 JLPT_3,E(^1aDIi!6
ヨット,ヨット,요트,JLPT JLPT_2 JLPT_3,G/C^ah63g_
夜中,よなか,밤중,JLPT JLPT_2 JLPT_3,QTA:28I)zV
世の中,よのなか,세간,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,zQaur22G#@
余分,よぶん,여분,JLPT JLPT_2 JLPT_3,uLcn4c5r}h
予報,よほう,예보,JLPT JLPT_2 JLPT_3,CpZ2Kf3K1p
予防,よぼう,예방,JLPT JLPT_2 JLPT_3,rDZhF+<_&}
読み,よみ,읽기,JLPT JLPT_2 JLPT_3,K?H`Don1~V
嫁,よめ,며느리,JLPT JLPT_2 JLPT_3,oRq&EQjfdU
余裕,よゆう,여유,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,E;;B#u-gwT
より,より,~보다; ~부터,JLPT JLPT_2 JLPT_3,"P,gDgn3/%z"
因る,よる,"하다, 말미암다",JLPT JLPT_2 JLPT_3,bk:?0yP.}A
喜び,よろこび,기쁨,JLPT JLPT_2 JLPT_3,K+wNM)/!OH
よろしく (かん),よろしく (かん),잘 부탁합니다,JLPT JLPT_2 JLPT_3,uLM;15kvNe
四,よん,"사, 넷(4)",JLPT JLPT_2 JLPT_3,FT^HSOQQHt
来,らい～,음독으로 읽는 어미,JLPT JLPT_2 JLPT_3,A=wX.vJ`;k
ライター,ライター,라이터,JLPT JLPT_2 JLPT_3,NgUl4>*Khu
楽,らく,낙,JLPT JLPT_2 JLPT_3,DiE;3Dx>c<
ラケット,ラケット,라켓,JLPT JLPT_2 JLPT_3,rc5WF%qwi^
利益,りえき,이익,JLPT JLPT_2 JLPT_3,j{(4)&Jk(I
理解,りかい,이해,JLPT JLPT_2 JLPT_3,kKF%t{|4d1
陸,りく,뭍,JLPT JLPT_2 JLPT_3,f7mi}zh7:U
利口,りこう,영리; 영리하다,JLPT JLPT_2 JLPT_3,fywFMWmChi
離婚,りこん,이혼,JLPT JLPT_2 JLPT_3,PI9p-(a/mR
理想,りそう,이상,JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki,Ev]+?).P_6
率,りつ,-률,JLPT JLPT_2 JLPT_3,s+WV`q_zTd
留学,りゅうがく,유학,JLPT JLPT_2 JLPT_3,jA_j8gA?Xq
流行,りゅうこう,유행,JLPT JLPT_2 JLPT_3,oDwVFzWRDw
量,りょう,양,JLPT JLPT_2 JLPT_3,EL&y=qJ[p]
寮,りょう,기숙사,Genki_Ln.17 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2 Genki,v~j5~V9)9G
両替,りょうがえ,환전,JLPT JLPT_2 JLPT_3,d:;<z]06Bi
料金,りょうきん,요금,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,zVvm;g>0?l
例,れい,"보기, 예",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,kB-8@n:7>K
礼,れい,절,JLPT JLPT_2 JLPT_3,EZ&Acuix#;
例外,れいがい,예외,JLPT JLPT_2 JLPT_3,tw6[F{cyVX
礼儀,れいぎ,예의,JLPT JLPT_2 JLPT_3,Gd12dxU_~f
冷静,れいせい,냉정,JLPT JLPT_2 JLPT_3,B49T]&wBB/
列,れつ,"열, 줄",JLPT JLPT_2 JLPT_3,xG=0sSj|M]
列車,れっしゃ,열차,JLPT JLPT_2 JLPT_3,QT2^`L&p0(
レベル,レベル,레벨,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,zpbh!KoN[L
連想,れんそう,연상,JLPT JLPT_2 JLPT_3,"NQ21Zh,%s4"
連続,れんぞく,연속,JLPT JLPT_2 JLPT_3,ODN;p&H}o6
老人,ろうじん,노인,JLPT JLPT_2 JLPT_3,Fz<ozu`hKp
労働,ろうどう,노동,JLPT JLPT_2 JLPT_3,svW#2;;Cv:
ロケット,ロケット,로켓,JLPT JLPT_2 JLPT_3,s>l2C%ZS6!
論じる,ろんじる,"논쟁하다, 토론하다",JLPT JLPT_2 JLPT_3,PV@[>Orc)!
論争,ろんそう,논쟁,JLPT JLPT_2 JLPT_3,OnROo#.Af[
論文,ろんぶん,논문,JLPT JLPT_2 JLPT_3,x9Y&i=]xwo
輪,わ,고리,JLPT JLPT_2 JLPT_3,FnX+2P-4%V
ワイン,ワイン,포도주,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9,k_34Ad?RbL
わがまま,わがまま,제멋대로 굶,JLPT JLPT_2 JLPT_3,EZq`y]jF5A
別れ,わかれ,"이별, 작별",JLPT JLPT_2 JLPT_3,OMtj+e3iBn
分かれる,わかれる,갈라지다,JLPT JLPT_2 JLPT_3,"h3]%FQ}r,e"
脇,わき,옆,JLPT JLPT_2 JLPT_3,jKWknj-GZC
湧く,わく,솟다,JLPT JLPT_2 JLPT_3,eVR+00~Wm
分ける,わける,가름하다,JLPT JLPT_2 JLPT_3,o0j(Vbh=Dm
わざと,わざと,부러,JLPT JLPT_2 JLPT_3,viYnUwNT3<
僅か,わずか,조금,JLPT JLPT_2 JLPT_3,q2B/3.([A6
綿,わた,"목화, 솜",JLPT JLPT_2 JLPT_3,v86=9+m*Zo
話題,わだい,이야깃거리,JLPT JLPT_2 JLPT_3,z8.CmK<Fdr
笑い,わらい,웃음,JLPT JLPT_2 JLPT_3,DQ4$VTV1]U
割る,わる,"깨뜨리다, 나누다",JLPT JLPT_2 JLPT_3,oEUIbaXq]C
悪口,わるくち,"욕, 험담",JLPT JLPT_2 JLPT_3,"d]Rs;YIR,B"
我々,われわれ,우리,JLPT JLPT_2 JLPT_3,E2(6GHR8(/
湾,わん,만,JLPT JLPT_2 JLPT_3,P6{jsCe:#w
椀,わん,그릇,JLPT JLPT_2 JLPT_3,l4kkf<]hlo
碗,わん,공기,JLPT JLPT_2 JLPT_3,jaH28ERkuW
悪,あく,악,JLPT_1 JLPT JLPT_3,Q1DWi+VRb<
当り,あたり,"적중, 당첨; 근처",JLPT_1 JLPT JLPT_3,pvdd^T@ma/
アップ,アップ,향상; 확대; 업,JLPT_1 JLPT JLPT_3,A[u&?[.Bro
宛てる,あてる,"수신인을 적다, 보내다",JLPT_1 JLPT JLPT_3,l&CGpg$n)R
アンケート,アンケート,앙케트,JLPT_1 JLPT JLPT_3,"jvw,M=`Mc4"
異,い,"차이, 이견",JLPT_1 JLPT JLPT_3,KWy%Q&s$/y
意,い,"어간의 하나; (특히 눈윗사람의) 의향, 무언가를 하고 싶다는 것의 생각",JLPT_1 JLPT JLPT_3,ue.p8Uogo]
医院,いいん,의원,JLPT_1 JLPT JLPT_3,cxetSKwBbl
怒り,いかり,"골, 노여움",JLPT_1 JLPT JLPT_3,eag:XoP`Iu
粋,いき,"멋, 세련됨",JLPT_1 JLPT JLPT_3,ugWhTIM%@o
意地,いじ,고집,JLPT_1 JLPT JLPT_3,Bt*R$hF@~7
依然,いぜん,의연; 여전,JLPT_1 JLPT JLPT_3,gx*_AN|$_R
傷める,いためる,손상하다,JLPT_1 JLPT JLPT_3,uF3-=@-Bpo
炒める,いためる,볶다,JLPT_1 JLPT JLPT_3,"G^,`T^H<Y$"
一帯,いったい,일대,JLPT_1 JLPT JLPT_3,DAOK/%LCS(
異動,いどう,"이동, 인사이동",JLPT_1 JLPT JLPT_3,ew^/izF?S5
衣料,いりょう,의복의 재료,JLPT_1 JLPT JLPT_3,gj0|x/@YEn
渦,うず,소용돌이,JLPT_1 JLPT JLPT_3,sfWs{S%^qV
埋まる,うまる,묻히다,JLPT_1 JLPT JLPT_3,7lK)HuokX
産む,うむ,출산하다,JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,r|}xM1gEOl
縁,えん,"연, 연분",JLPT_1 JLPT JLPT_3,oaiH%ZtU~K
尾,お,꼬리,JLPT_1 JLPT JLPT_3,wE6#3`(P-s
負う,おう,짊어지다,JLPT_1 JLPT JLPT_3,u~;tItu4oL
遅れ,おくれ,"지연, 늦음",JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,l%9;2PC4x+
教え,おしえ,가르침,JLPT_1 JLPT JLPT_3,xPgyX4=PH+
驚き,おどろき,놀라움,JLPT_1 JLPT JLPT_3,uYPDwf:Xey
織る,おる,엮다,JLPT_1 JLPT JLPT_3,H-^?L/FUtJ
欠く,かく,결여되다; 깨뜨리다,JLPT_1 JLPT JLPT_3,"y:z4,KW,Y-"
角,かく,각,JLPT_1 JLPT JLPT_3,Q3RPtFjJo6
核,かく,핵,JLPT_1 JLPT JLPT_3,e?}Lbq98=N
格,かく,격,JLPT_1 JLPT JLPT_3,Bd<&>IEN#(
学歴,がくれき,학력,JLPT_1 JLPT JLPT_3,"oJD!i#Ghj,"
駆ける,かける,달리다,JLPT_1 JLPT JLPT_3,AlwjF+uaKO
賭ける,かける,내기하다,JLPT_1 JLPT JLPT_3,dX$E2ISF?E
課題,かだい,과제,JLPT_1 JLPT JLPT_3,JNxi3:**/$
片付け,かたづけ,갈무리,JLPT_1 JLPT JLPT_3,b8#*+`Yer.
加味,かみ,가미,JLPT_1 JLPT JLPT_3,IDJ]6]i7Jx
借り,かり,빚,JLPT_1 JLPT JLPT_3,eJ@~/@E_cp
狩り,かり,사냥,JLPT_1 JLPT JLPT_3,F*!5GCg4U&
管,かん,다음 단어를 만듦; 관,JLPT_1 JLPT JLPT_3,fcs)GZ>f[[
～観,かん,-관,JLPT_1 JLPT JLPT_3,L#gN7p7zR4
癌,がん,암,JLPT_1 JLPT JLPT_3,"p~,cAC,D+|"
刊行,かんこう,간행,JLPT_1 JLPT JLPT_3,M#=U8)QH)D
慣行,かんこう,관행,JLPT_1 JLPT JLPT_3,xk+2IzF[p%
歓声,かんせい,환호성,JLPT_1 JLPT JLPT_3,"w6B,F.u4!."
官僚,かんりょう,관료,JLPT_1 JLPT JLPT_3,vh@[V;%&ao
器官,きかん,기관,JLPT_1 JLPT JLPT_3,N2?AghIU$R
季刊,きかん,계간,JLPT_1 JLPT JLPT_3,I;$Bk_n?X#
起源,きげん,기원,JLPT_1 JLPT JLPT_3,tlShs$oI^}
機構,きこう,기구,JLPT_1 JLPT JLPT_3,i}B:Es]N)f
築く,きずく,축구하다,JLPT_1 JLPT JLPT_3,i^HMG^80!G
規制,きせい,규제,JLPT_1 JLPT JLPT_3,CN`|`I@cQ2
丘陵,きゅうりょう,언덕,JLPT_1 JLPT JLPT_3,"E9ld1,7]!f"
協議,きょうぎ,협의,JLPT_1 JLPT JLPT_3,Q?<#X?Sj/E
享受,きょうじゅ,향수,JLPT_1 JLPT JLPT_3,QIS<k>N.yl
協調,きょうちょう,협조,JLPT_1 JLPT JLPT_3,q1MP[9CeAj
切り,きり,"끝, 한계",JLPT_1 JLPT JLPT_3,B0AWr56JJ:
菌,きん,균,JLPT_1 JLPT JLPT_3,tmpS/:#W86
近視,きんし,근시,JLPT_1 JLPT JLPT_3,"NkNB,nl-$5"
苦,く,"고통, 고민",JLPT_1 JLPT JLPT_3,rAG1%p4z{~
群,ぐん,그룹,JLPT_1 JLPT JLPT_3,"LN,Tx3PlR-"
刑,けい,형,JLPT_1 JLPT JLPT_3,"lZo,b@3#8r"
経緯,けいい,경위,JLPT_1 JLPT JLPT_3,vg;b<1L}X}
計器,けいき,계기,JLPT_1 JLPT JLPT_3,D|{=p=rf^U
契機,けいき,계기,JLPT_1 JLPT JLPT_3,K8C9CieJaA
携帯,けいたい,휴대 전화,JLPT_1 JLPT JLPT_3,IrGZ6yI4>+
形態,けいたい,형태,JLPT_1 JLPT JLPT_3,e/5N$:Z!T-
血管,けっかん,혈관,JLPT_1 JLPT JLPT_3,QbJ9AEIh9>
決行,けっこう,결행,JLPT_1 JLPT JLPT_3,F-+3sLP~)5
件,けん,건,JLPT_1 JLPT JLPT_3,kQ?0ViPK+4
減少,げんしょう,감소,JLPT_1 JLPT JLPT_3,k4_<}lhTb#
公演,こうえん,공연,JLPT_1 JLPT JLPT_3,H?FP7|9MSw
