expression,reading,meaning,tags,guid
概論,がいろん,"총론, 개론",JLPT JLPT_2,EagQlRaO<~
却って,かえって,오히려,JLPT JLPT_2,Ff-Dhop([3
家屋,かおく,가옥,JLPT JLPT_2,K9=P{6t9d@
係わる,かかわる,"관계되다, 관여하다",JLPT JLPT_2,e1]obK7qg.
書留,かきとめ,등기 우편,JLPT JLPT_2,"P,x~yeJiAf"
書取,かきとり,받아쓰기,JLPT JLPT_2,nlq[7d^Cda
垣根,かきね,울타리,JLPT JLPT_2,s%pg!Off-$
限り,かぎり,한,JLPT JLPT_2,nd]$n-hPJY
各～,かく～,각,JLPT JLPT_2,JIKk5aY~sz
架空,かくう,가공,JLPT JLPT_2,keLv$&NvXw
各自,かくじ,"각자, 제각기",JLPT JLPT_2,u>j/FKC5==
拡充,かくじゅう,확충,JLPT JLPT_2,k9>S;S#x^)
学術,がくじゅつ,학술,JLPT JLPT_2,y2n!_T5t*M
各地,かくち,각지,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,M_|B!vf-KS
拡張,かくちょう,확장,JLPT JLPT_2,"qk,U%yom=n"
角度,かくど,각도,JLPT JLPT_2,xYUahGWaOD
学年,がくねん,학년,JLPT JLPT_2,snv|Q^7V&<
学部,がくぶ,학부,JLPT JLPT_2,M{Rt-~pV[8
格別,かくべつ,유별,JLPT JLPT_2,ew:H.)$lIz
確率,かくりつ,확률,JLPT JLPT_2,B^!PO()@Fj
学力,がくりょく,학력,JLPT JLPT_2,fg#sj4f&H/
掛け算,かけざん,곱셈,JLPT JLPT_2,NBNX=8%`mD
かけざん,かけざん,곱셈,JLPT JLPT_2,J(J6;KG1P0
可決,かけつ,가결,JLPT JLPT_2,?AdRO|`D3
火口,かこう,분화구,JLPT JLPT_2,I>{#77)U2L
下降,かこう,하강,JLPT JLPT_2,olO#.LVae]
重ねる,かさねる,포개다,JLPT JLPT_2,v-}D_SOws/
飾り,かざり,장식,JLPT JLPT_2,MTDy9F:WDT
火山,かざん,화산,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,nQ^q[SYzad
かしこまりました,かしこまりました,알겠습니다,JLPT JLPT_2 Genki_Ln.20 Genki,K[_B[U0SFm
貸し出し,かしだし,"대출, 대여",JLPT JLPT_2,jgwQltf^|5
過失,かしつ,"허물, 과오",JLPT JLPT_2,wGXKGa.Q$k
果実,かじつ,과실,JLPT JLPT_2,Hr5#b<WZv5
貸間,かしま,셋방,JLPT JLPT_2,f;Mu?;YNxY
貸家,かしや,임대 주택,JLPT JLPT_2,xG+iA}dT^k
箇所,かしょ,"장소, 지점, 부분",JLPT JLPT_2,"u73w,EFcqC"
かしょ,かしょ,"구절, 부분",JLPT JLPT_2,QWm(5L}$9%
過剰,かじょう,과잉,JLPT JLPT_2,gyP>>^hD);
かじる,かじる,"씹다, 물어뜯다",JLPT JLPT_2,HPUE@sF)^#
課税,かぜい,과세,JLPT JLPT_2,v<>5#MB}<q
カセット,カセット,카세트(테이프),JLPT JLPT_2,O31|Fi(S7Q
下線,かせん,밑줄,JLPT JLPT_2,pq&rc|>fY.
加速,かそく,가속,JLPT JLPT_2,MT@qI_:;KR
加速度,かそくど,가속도,JLPT JLPT_2,ic-:spL~M@
かたかな,かたかな,가타카나,JLPT JLPT_2,QPplVw&IAL
かたづく,かたづく,정리되다,JLPT JLPT_2,"z6jkVh5~d,"
塊,かたまり,덩어리,JLPT JLPT_2,iJm<x_b^7C
固まる,かたまる,굳어지다,JLPT JLPT_2,iT33@SKQ0$
片道,かたみち,편도,JLPT JLPT_2,tN}hoBEcWZ
傾く,かたむく,달리다,JLPT JLPT_2,"eRHA+m,LAe"
片寄る,かたよる,기울다,JLPT JLPT_2,Q|RAcaS;Ac
学科,がっか,학과,JLPT JLPT_2,d/U/mP87B<
学会,がっかい,학회,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,rvd2E[%d:l
楽器,がっき,악기,JLPT JLPT_2,zj[&tINbu_
学級,がっきゅう,학급,JLPT JLPT_2,xHn7Zkw(je
担ぐ,かつぐ,"메다, 떠메다",JLPT JLPT_2,uNP=4K#|_6
括弧,かっこ,괄호,JLPT JLPT_2,E4PO59(otM
活字,かつじ,활자,JLPT JLPT_2,lS9+ur8Rhy
勝手に,かってに,"임의로, ",JLPT JLPT_2,c;rdge_lIB
活躍,かつやく,활약,JLPT JLPT_2,t6eKeTVxu1
活力,かつりょく,활력,JLPT JLPT_2,P=dyC+Atno
課程,かてい,과정,JLPT JLPT_2,"g,{yU7}}eo"
仮名,かな,가나,JLPT JLPT_2,r+|=nvx{%}
仮名遣い,かなづかい,가나 표기법,JLPT JLPT_2,q:v%>e2~9#
鐘,かね,종,JLPT JLPT_2,MiZAx.nm4S
加熱,かねつ,가열,JLPT JLPT_2,D58GJ/(V81
兼ねる,かねる,겸하다,JLPT JLPT_2,s0EuumM^s>
カバー,カバー,(책 등의) 표지,JLPT JLPT_2,h7<4il+kD=
過半数,かはんすう,과반수,JLPT JLPT_2,t.8/F.$N=Y
かび (～がはえる),かび (～がはえる),"곰팡이, 백곰팡이",JLPT JLPT_2,Q.7b{&DG}o
被せる,かぶせる,덮다,JLPT JLPT_2,BdRmJ;EC_8
釜,かま,"가마, 가마솥",JLPT JLPT_2,M+N1Y3/)pj
構いません,かまいません,괜찮아요; 신경 쓰지 않는,Intermediate_Japanese_Ln.4 JLPT JLPT_2 Intermediate_Japanese,vd/0yY>i6%
紙屑,かみくず,폐휴지,JLPT JLPT_2,vvZ;(*{sDL
神様,かみさま,하느님,JLPT JLPT_2 Genki_Ln.20 Genki,QtI1aTgK3F
剃刀,かみそり,면도기,JLPT JLPT_2,EUVj(OJ|`3
ガム,ガム,껌,JLPT JLPT_2,IjCKN~>gDp
貨物,かもつ,화물,JLPT JLPT_2,Ee3iA.}E1T
歌謡,かよう,가요,JLPT JLPT_2,B8j5MHOl3a
殻,から,깍지,JLPT JLPT_2,E[9cW:WqUf
カラー,カラー,"칼라, 색상",JLPT JLPT_2,hoWS%R]$xc
からかう,からかう,놀리다,JLPT JLPT_2,f1|Z(DjQl3
空っぽ,からっぽ,빈껍데기,JLPT JLPT_2,ymKUE(fK%o
かるた,かるた,가루타(일본 전통 카드놀이),JLPT JLPT_2,cJB:Z0SpF-
枯れる,かれる,죽다,JLPT JLPT_2,w%ev2Rq1&r
カロリー,カロリー,​​칼로리,JLPT JLPT_2,"diZF6u*,sD"
可愛がる,かわいがる,귀여워하다,JLPT JLPT_2,zX92vgkXT;
乾かす,かわかす,말리다,JLPT JLPT_2,pnSoE/i9wh
為替,かわせ,"환, 환전",JLPT JLPT_2,JjeKsySAG^
瓦,かわら,기와,JLPT JLPT_2,Bf6o<dScJ^
間隔,かんかく,간격,JLPT JLPT_2,f(q^~|ToF|
換気,かんき,환기,JLPT JLPT_2,to8!Q9kk&}
感激,かんげき,"감격, 감동",JLPT JLPT_2,yU>I7PD.[:
関西,かんさい,〈지명〉 간사이,JLPT JLPT_2,"mfDDR,OXu:"
元日,がんじつ,"설날, 1월 1일",JLPT JLPT_2,u|JK#Xa]e5
鑑賞,かんしょう,감상,JLPT JLPT_2,E642S>/DUA
感ずる,かんずる,느끼다,JLPT JLPT_2,Nfi9|FOf@O
間接,かんせつ,간접,JLPT JLPT_2,dxp6!l6@:y
乾燥,かんそう,건조,JLPT JLPT_2,td4Zh9`xWT
感想,かんそう,"감상, 소감",JLPT JLPT_2,Dl}@=q4$z6
観測,かんそく,관측,JLPT JLPT_2,DpaRQHledo
寒帯,かんたい,한대 지역,JLPT JLPT_2,kuZZ@R:&?
勘違い,かんちがい,착각,JLPT JLPT_2,Hn~gIt2Uw4
官庁,かんちょう,"관가, 관청",JLPT JLPT_2,e-}veyn2>L
缶詰,かんづめ,통조림,JLPT JLPT_2,dGjAI6[GGs
乾電池,かんでんち,건전지,JLPT JLPT_2,kSO!})gG5D
関東,かんとう,간토 지방,JLPT JLPT_2,q$Rzr7k!?N
観念,かんねん,관념,JLPT JLPT_2,H`W;t.blod
乾杯,かんぱい,건배,JLPT_2 JLPT Genki_Ln.8 Genki,qtXR3lc8pv
看板,かんばん,간판,JLPT JLPT_2,f~lT@>sl(B
看病,かんびょう,병간호,JLPT JLPT_2,d4(@OW=wzg
冠,かんむり,감투,JLPT JLPT_2,"u>]rwp,Fs["
漢和,かんわ,"한일, 한자-일본어 사전",JLPT JLPT_2,"mNHDxx[&,N"
気圧,きあつ,기압,JLPT JLPT_2,w71unwo/e>
着替え,きがえ,갈아입을 옷; 옷을 갈아입기,JLPT JLPT_2,vi{&DRUjwE
着替える,きがえる,갈아입다,JLPT Intermediate_Japanese JLPT_2 Genki Intermediate_Japanese_Ln.10 Genki_Ln.21,"Az6,#K9!yB"
機関車,きかんしゃ,기관차,JLPT JLPT_2,dyq%>=g>@K
飢饉,ききん,기근,JLPT JLPT_2,of0kMjM40p
器具,きぐ,기기,JLPT JLPT_2,f04oZ+_FOX
期限,きげん,기한,JLPT JLPT_2,"hwqzFcU1,$"
記号,きごう,"마크, 부호",JLPT JLPT_2,"NF?>3T^,JP"
刻む,きざむ,새기다,JLPT JLPT_2,"LlS,o9O&r1"
儀式,ぎしき,식,JLPT JLPT_2,KIl/;heLfD
基準,きじゅん,기준,JLPT JLPT_2,l&fXwd/g5#
規準,きじゅん,"규준, 기준",JLPT JLPT_2,Efh]$;|u`t
起床,きしょう,기상,JLPT JLPT_2,"fOY,Ghbw-s"
着せる,きせる,입히다,JLPT JLPT_2,NKt/PdYQsd
基礎,きそ,"밑거름, 바탕",JLPT JLPT_2,IMHZY>OvkD
基地,きち,터전,JLPT JLPT_2,I7{+B~;-Cv
きっかけ,きっかけ,계기,JLPT JLPT_2,e9iq#7`z5g
切っ掛け,きっかけ,계제,JLPT JLPT_2,sY5&<lP/:_
ぎっしり,ぎっしり,꽉,JLPT JLPT_2,roF`vi5#iH
基盤,きばん,"토대, 토양",JLPT JLPT_2,Q#hD0![*dh
客席,きゃくせき,객석,JLPT JLPT_2,oKF%:%YXd4
客間,きゃくま,객실,JLPT JLPT_2,PWjQKkx$-q
ギャング,ギャング,갱단,JLPT JLPT_2,rmu8iNTz;H
キャンパス,キャンパス,캠퍼스,JLPT JLPT_2,me;5WQ2vTb
休業,きゅうぎょう,휴무,JLPT JLPT_2,oX~(4uE=OX
休講,きゅうこう,휴강,JLPT JLPT_2,IblG6P2b4^
休息,きゅうそく,휴식,JLPT JLPT_2,mFQb-ci%=n
給与,きゅうよ,녹,JLPT JLPT_2,PCn?h_u$qZ
休養,きゅうよう,휴양,JLPT JLPT_2,RcKyI3I]Oc
清い,きよい,"말갛다, 맑다",JLPT JLPT_2,Gl5ERuBRxp
強化,きょうか,강화,JLPT JLPT_2,uXIPpdZC1R
境界,きょうかい,경계,JLPT JLPT_2,j7=Rl[TZ[~
共産～,きょうさん～,공산,JLPT JLPT_2,j8+=)[q7=i
行事,ぎょうじ,행사,JLPT JLPT_2,"H,ijyT4Xeg"
恐縮,きょうしゅく,"황송함, 죄송함",JLPT JLPT_2,zQMs(1T)5O
教養,きょうよう,교양,JLPT JLPT_2,z>(b`0D^UW
行列,ぎょうれつ,행렬,JLPT JLPT_2,NW3kj#3*Pp
漁業,ぎょぎょう,어업,JLPT JLPT_2,oFZ3yBC.8y
曲線,きょくせん,곡선,JLPT JLPT_2,iDUc0okp@!
規律,きりつ,규율,JLPT JLPT_2,qH%%&6n|uU
斬る,きる,"참수하다, 살해하다",JLPT JLPT_2,npLP+:S/ui
気を付ける,きをつける,조심하다,JLPT JLPT_2,KJo;WsH_ui
琴,きん,고토(13현 일본 전통 악기),JLPT JLPT_2,ze/Aoh1sN#
金魚,きんぎょ,금붕어,JLPT JLPT_2,f4r;e>P:iY
クーラー,クーラー,에어컨,JLPT JLPT_2,m[g>=z]wN/
区域,くいき,구역,JLPT JLPT_2,fYQq7`cNuc
空～,くう～,하늘,JLPT JLPT_2,A&!JE@t/D3
偶数,ぐうすう,짝수,JLPT JLPT_2,"iw7<JlzmC,"
空想,くうそう,공상,JLPT JLPT_2,H5ov7CW8[y
空中,くうちゅう,공중,JLPT JLPT_2,A;^pVv^)~a
釘,くぎ,못,JLPT JLPT_2,Gb>Lz*bq3+
区切る,くぎる,끊다,JLPT JLPT_2,s|j=prYd&B
櫛,くし,머리빗,JLPT JLPT_2,dzg}!o26=)
くしゃみ,くしゃみ,재채기,JLPT JLPT_2,jgl;4q1>wE
苦情,くじょう,"불만, 불평",JLPT JLPT_2,"GDdlB.2)],"
苦心,くしん,고심,JLPT JLPT_2,scKS9[]M|w
屑,くず,"쓰레기, 부스러기",JLPT JLPT_2,BqN1|GlY;b
崩す,くずす,"부서뜨리다, 부서트리다",JLPT JLPT_2,m%M5UejA$^
薬指,くすりゆび,약지,JLPT JLPT_2,lPy;T<L~6G
崩れる,くずれる,뭉그러지다,JLPT JLPT_2,cC8vUqHlPz
砕く,くだく,부수다,JLPT JLPT_2,wiAgy$Rvgg
砕ける,くだける,"부서지다, 깨지다",JLPT JLPT_2,I_dH|P3phU
くたびれる,くたびれる,까부라지다,JLPT JLPT_2,G(IR)z:5pO
くだらない,くだらない,너절하다,JLPT JLPT_2,"A~U,=Hx4eT"
下る,くだる,내려가다,JLPT JLPT_2,x;r#pjjP.D
唇,くちびる,입술,JLPT JLPT_2,Ojx~b|>9H|
口紅,くちべに,립스틱,JLPT JLPT_2,tS@_TWWY!2
くっつく,くっつく,"붙다, 달라붙다",JLPT JLPT_2,oS}[QfJCGM
くっつける,くっつける,부착하다,JLPT JLPT_2,oyj+vcm-!3
くどい,くどい,텁텁하다,JLPT JLPT_2,"hrEZ=;H,}N"
句読点,くとうてん,구두점,JLPT JLPT_2,l-RV08NZgs
配る,くばる,돌리다,JLPT JLPT_2,lXb3hdtDlZ
工夫,くふう,"궁리, 고안",JLPT JLPT_2,H+)pz^uf{J
区分,くぶん,구분,JLPT JLPT_2,F<dg-k3#W>
組合せ,くみあわせ,조합,JLPT JLPT_2,Bg89BEb&%-
組み立てる,くみたてる,조립하다,JLPT JLPT_2,v|l>4TT$)t
悔やむ,くやむ,뉘우치다,JLPT JLPT_2 Intermediate_Japanese Intermediate_Japanese_Ln.11,H!N`qFr_#7
クリーニング,クリーニング,세탁,JLPT JLPT_2,i[]|N=O%MV
くるむ,くるむ,"감싸다, 싸다",JLPT JLPT_2,"BR}5xbe,nI"
くれぐれも,くれぐれも,부디,JLPT JLPT_2,Fa/6^Kk;|O
郡,ぐん,군,JLPT JLPT_2,bbr::y1BwQ
稽古,けいこ,"연습, 수련",JLPT JLPT_2,j8X.KY|=u:
敬語,けいご,존대어,JLPT Intermediate_Japanese Genki_Ln.19 JLPT_2 Intermediate_Japanese_Ln.13 Genki,yjE)OYPe3Q
蛍光灯,けいこうとう,형광등,JLPT JLPT_2,"QTW-;W~W,r"
形式,けいしき,형식,JLPT JLPT_2,Ab_)N~*$PV
継続,けいぞく,계속,JLPT JLPT_2,CaHy~Z7JH4
毛糸,けいと,"털, 털실",JLPT JLPT_2,Gb?267tT>>
経度,けいど,경도,JLPT JLPT_2,Av7~pbz~Hq
系統,けいとう,계통,JLPT JLPT_2,Q-55n75c-r
芸能,げいのう,연예,JLPT JLPT_2,f.Hh_!4j.)
競馬,けいば,경마,JLPT JLPT_2,n:NmLS-y><
警備,けいび,경비,JLPT JLPT_2,G/A=@_E]L]
形容詞,けいようし,형용사,JLPT JLPT_2,cL`y[jUOq<
形容動詞,けいようどうし,형용동사,JLPT JLPT_2,uV+nfBdxmh
外科,げか,외과,JLPT JLPT_2,E>G.GzTwL/
毛皮,けがわ,털가죽,JLPT JLPT_2,c{EG;%-8)#
激増,げきぞう,격증,JLPT JLPT_2,yz;Sw2]1o2
下車,げしゃ,하차,JLPT JLPT_2,s3V^Z_7&3=
下旬,げじゅん,하순,JLPT JLPT_2,ydXtTo$/3C
下水,げすい,시궁창,JLPT JLPT_2,kv>S4!V~UF
削る,けずる,"삭감하다, 후리다",JLPT JLPT_2,"b>,#]bkBBs"
桁,けた,"자리, 자릿수",JLPT JLPT_2,h3Lj0KDxA;
下駄,げた,게타(일본식 나막신),JLPT JLPT_2,Lsi@O2Lyg^
血圧,けつあつ,혈압,JLPT JLPT_2,gAl*9Gbi)S
月給,げっきゅう,월급,JLPT JLPT_2,HF>n5v#}UC
傑作,けっさく,걸작,JLPT JLPT_2,Cv}k6t8gW-
月末,げつまつ,월말,JLPT JLPT_2,yG[@;%)^%!
気配,けはい,기색,JLPT JLPT_2,vEl!:!Y]<7
下品,げひん,저속,JLPT JLPT_2,Mu42*K8+!p
下品(な),げひん(な),저속한,JLPT JLPT_2,OV!SBP%Y;}
煙い,けむい,맵다,JLPT JLPT_2,jZ9K)#wLUe
険しい,けわしい,가파르다,JLPT JLPT_2,sL2hQ27Y;>
現～,げん～,현,JLPT JLPT_2,j5m@yw%F5s
見学,けんがく,견학,JLPT JLPT_2,AGWPud)jCW
謙虚,けんきょ,겸허,JLPT JLPT_2,dX|trSe.K0
原稿,げんこう,원고,JLPT JLPT_2,tF(k44d8V3
原産,げんさん,원산지,JLPT JLPT_2,oEB|tzMZJ~
原始,げんし,원시,JLPT JLPT_2,omD?4Zjs@O
研修,けんしゅう,연수,JLPT JLPT_2,GG4]qYN81r
厳重,げんじゅう,엄중,JLPT JLPT_2,v!xFiav6KX
謙遜,けんそん,겸손,JLPT JLPT_2,<K5$n`CYI
県庁,けんちょう,현청,JLPT JLPT_2,zvZL32PgqO
限度,げんど,한도,JLPT JLPT_2,JA`c9FaS}R
現に,げんに,"실제로, 정말로",JLPT JLPT_2,"u,j=UO^+?,"
顕微鏡,けんびきょう,현미경,JLPT JLPT_2,sxMC{StEnT
懸命,けんめい,힘을 다해서 열심히 하는 것,JLPT JLPT_2,q]z=kgzWuF
原理,げんり,원리,JLPT JLPT_2,k&wukQ5nce
原料,げんりょう,원료,JLPT JLPT_2,c@Y5nO/W2_
碁,ご,바둑,JLPT JLPT_2,rtF@zQN<F]
小～,こ～,"알-, 쪽-",JLPT JLPT_2,nc*Pi>[z&(
コース,コース,"코스, 진로",JLPT JLPT_2,oysa|(e$-M
コーラス,コーラス,합창,JLPT JLPT_2,Humxyi-3mI
恋しい,こいしい,사랑스럽다,JLPT JLPT_2,B6>l>%o=|:
高～,こう～,고,JLPT JLPT_2,D00VmIU)t|
工員,こういん,공원,JLPT JLPT_2,vkV[De+:pH
強引,ごういん,"강압적, 억지스러움",JLPT JLPT_2,sKp0o2A:hc
公害,こうがい,공해,JLPT JLPT_2,QpY.UtLIJ[
高級,こうきゅう,고급,Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese,ft;T5?9HzM
公共,こうきょう,공공,JLPT JLPT_2,sgv0$[#74*
工芸,こうげい,공예,JLPT JLPT_2,Bwh|-zOd@t
孝行,こうこう,효행,JLPT JLPT_2,qZRbxu/C>i
交差,こうさ,교차,JLPT JLPT_2,"fDo8@&J]V,"
講師,こうし,강사,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,zd6hLYf74N
工事,こうじ,공사,JLPT JLPT_2,I]-Fc)+f`5
公式,こうしき,공식,JLPT JLPT_2,"nVcCuyV_X,"
口実,こうじつ,핑계,JLPT JLPT_2,f`zk^AisY[
こうして,こうして,"이렇게, 이것과 함께",JLPT JLPT_2,ur#5.<4sqd
校舎,こうしゃ,교사,JLPT JLPT_2,bX%cC*?a1%
公衆,こうしゅう,공중,JLPT JLPT_2,bE}u4]$3>(
香水,こうすい,향수,JLPT JLPT_2,o.:4b?]N+f
公正,こうせい,공정,JLPT JLPT_2,N@!)sH2_75
功績,こうせき,공적,JLPT JLPT_2,OI:=[B.(~f
光線,こうせん,광선,JLPT JLPT_2,ter3YDX-e<
高層,こうそう,고층,JLPT JLPT_2,AyG~sZay?6
構造,こうぞう,구조,JLPT JLPT_2,hQ&6u.oz?k
交替,こうたい,교체,JLPT JLPT_2,MK%iQJeoa*
交代,こうたい,교대,JLPT JLPT_2,f~GJ18sE+w
耕地,こうち,경작지,JLPT JLPT_2,k*|BtPi.!l
交通機関,こうつうきかん,"교통 기관, 교통수단",JLPT JLPT_2,uNV6#=3}0=
校庭,こうてい,교정,JLPT JLPT_2,w[Wu+:]Zss
肯定,こうてい,긍정,JLPT JLPT_2,oZ3[Bf(H{{
高度,こうど,고도,JLPT JLPT_2,CQAS#*&&=/
高等,こうとう,고등,JLPT JLPT_2,dbk]Zc:3rz
合同,ごうどう,합동,JLPT JLPT_2,c!+-6kS6~S
高等学校,こうとうがっこう,고등학교,JLPT JLPT_2,k>`;igc0Pv
公表,こうひょう,공표,JLPT JLPT_2,Frp(j`FqPK
鉱物,こうぶつ,광물,JLPT JLPT_2,"g7V_q,WB=T"
公務,こうむ,공무,JLPT JLPT_2,ph__$$f`>`
項目,こうもく,조목,JLPT JLPT_2,IR)]Uw=>ew
紅葉,こうよう,단풍나무,Intermediate_Japanese_Ln.4 JLPT JLPT_2 Intermediate_Japanese,QVPJ]RT}3i
こうよう もみじ,こうよう もみじ,"단풍, 단풍나무",JLPT JLPT_2,jyNUL2Cq@*
合理,ごうり,합리,JLPT JLPT_2,i7M&H:#flC
交流,こうりゅう,교류,JLPT JLPT_2,QGlx1yaY72
合流,ごうりゅう,합류,JLPT JLPT_2,FQa#d;SBEZ
効力,こうりょく,"효력, 힘",JLPT JLPT_2,m[c_>TpG7t
焦がす,こがす,눌리다,JLPT JLPT_2,DR^K9TVHMB
国王,こくおう,국왕,JLPT JLPT_2,CA0:(YU5WC
こくせき,こくせき,국적,JLPT JLPT_2,Ew(}`1|Q5L
国立,こくりつ,국립,JLPT JLPT_2,n0&v0]`V#?
ご苦労様,ごくろうさま,수고하셨습니다,JLPT JLPT_2,t%p^_:OJ|i
焦げる,こげる,눋다,JLPT JLPT_2,inwlPXnA$z
凍える,こごえる,얼다,JLPT JLPT_2,L+KY/9pga6
心当たり,こころあたり,"짐작 가는 데, 아는 바",JLPT JLPT_2,d$_UA7~;A}
心得る,こころえる,"이해하다, 숙지하다",JLPT JLPT_2,nby@b2~VRE
腰掛け,こしかけ,"의자, 걸상",JLPT JLPT_2,B.?hce;|M.
腰掛,こしかけ,"좌석, 벤치",JLPT JLPT_2,E&fvprgdQl
腰掛ける,こしかける,걸터앉다,JLPT JLPT_2,C/%Q;o7b11
五十音,ごじゅうおん,오십음도,JLPT JLPT_2,jxVh59#|-M
こしらえる,こしらえる,"만들다, 제조하다",JLPT JLPT_2,i-3W|?L%O1
擦る,こする,문지르다,JLPT JLPT_2,P#|X3kVk2a
個体,こたい,개체,JLPT JLPT_2,K@FOqw]g/=
ごちそうさま,ごちそうさま,식사 직후의 인사말,JLPT JLPT_2,Jul:^;Dy``
こちらこそ,こちらこそ,저야말로,JLPT JLPT_2,B-I}wWoF~[
小遣い,こづかい,주머닛돈,JLPT JLPT_2,Mi}UDGGnPb
コック,コック,조리사,JLPT JLPT_2,IM?]qPl^[d
こっそり,こっそり,몰래,JLPT JLPT_2,o.yZt_~llY
古典,こてん,고전,JLPT JLPT_2,"o,g/8g3=5w"
言付ける,ことづける,메시지를 남기다,JLPT JLPT_2,kGvj%:f4#<
言葉遣い,ことばづかい,말씨,JLPT JLPT_2,I8U([];a3j
こないだ,こないだ,요전,JLPT JLPT_2,JgsjMc&2iB
御無沙汰,ごぶさた,오래 연락하지 못함,JLPT JLPT_2,h*n>sYK!3z
ゴム,ゴム,고무,JLPT JLPT_2,oFg|-D}k2~
御免,ごめん,미안함; 사양함,JLPT JLPT_2,o2=%ufIq+G
ごめんください,ごめんください,이리 오너라,JLPT JLPT_2,guZ7b6UJ;s
小指,こゆび,새끼손가락,JLPT JLPT_2,l.YopEDJ!I
堪える,こらえる,"배기다, 버티다",JLPT JLPT_2,hM1GeQIR^s
娯楽,ごらく,오락,JLPT JLPT_2,tFNg*5LjGq
御覧,ごらん,"보심, 보세요",JLPT JLPT_2,pLv<:y@zpf
コレクション,コレクション,수집,JLPT JLPT_2,H}>p%NJ>aq
転がす,ころがす,굴리다,JLPT JLPT_2,d5Iyiq5t}5
転がる,ころがる,"나동그라지다, 나둥그러지다",JLPT JLPT_2,u0s)#a{$F&
紺,こん,감색,JLPT JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese,P;kAa8K;qq
今～,こん～,지금,JLPT JLPT_2,"lXSg,J@v4n"
コンクール,コンクール,콩쿠르,JLPT JLPT_2,O:S`(}<v)K
コンクリート,コンクリート,콘크리트,JLPT JLPT_2,lEhN4;/BMM
混合,こんごう,혼합,JLPT JLPT_2,IMB+$DZG1H
コンセント,コンセント,"동의, 승낙, 승인, 찬성, 허가; (일본식 영어) 전원 등을 공급하기 위해서 가전제품 등의 전기 기구의 플러그를 꽂는 삽입구 중 조영재, 기기 등에 고정할 수 있는 것",JLPT JLPT_2,d{^OuMbhJw
献立,こんだて,메뉴,JLPT JLPT_2,Nuu_A~-?pe
こんばんは,こんばんは,안녕하세요. (저녁 인사),JLPT JLPT_2,lL0e]&K7U?
サークル,サークル,서클,JLPT JLPT_2,H[N:3J2F+>
再～,さい～,재-,JLPT JLPT_2,eK[KX|A&U*
最～,さい～,최-,JLPT JLPT_2,ry(m3m#pOU
在学,ざいがく,재학,JLPT JLPT_2,b)R1W8]IN[
再三,さいさん,재차,JLPT JLPT_2,yXL@E3-qW)
祭日,さいじつ,경축일,JLPT JLPT_2,Ol|U}K0|@/
催促,さいそく,"재촉, 채근",JLPT JLPT_2,w[uz5KW1#O
採点,さいてん,채점,JLPT JLPT_2,cf[<`dEms.
災難,さいなん,재앙,JLPT JLPT_2,t+<u_pEc%l
裁縫,さいほう,바느질,JLPT JLPT_2,l5uxjaa~([
材木,ざいもく,재목,JLPT JLPT_2,C^wcz[@i~I
サイレン,サイレン,사이렌,JLPT JLPT_2,GcBu%p~IY}
逆さ,さかさ,거꾸로,JLPT JLPT_2,Qv$@Ku&bq3
逆様,さかさま,거꾸로,JLPT JLPT_2,Kss4zt#UsY
捜す,さがす,뒤지다,JLPT JLPT_2,Id5DHZywm4
遡る,さかのぼる,거슬러 올라가다,JLPT JLPT_2,Eh_na+J@mx
酒場,さかば,"술집, 바",JLPT JLPT_2,5|=y]wzJ!
一昨昨日,さきおととい,그끄저께,JLPT JLPT_2,Gdz+)4!X77
先程,さきほど,아까,JLPT JLPT_2,olU114Wmm^
索引,さくいん,색인,JLPT JLPT_2,v|4{<K[((2
作者,さくしゃ,"작자, 지은이",JLPT JLPT_2,rc*1{`F2s[
削除,さくじょ,삭제,JLPT JLPT_2,w?HDbz0CK?
作成,さくせい,작성,JLPT JLPT_2,etM+H9CoJX
作製,さくせい,제작,JLPT JLPT_2,Dc+`_1Q;zM
探る,さぐる,살펴보다,JLPT JLPT_2,ez.n0eIW>4
囁く,ささやく,도란거리다,JLPT JLPT_2,k[yB!L/Yv(
刺さる,ささる,꽂히다,JLPT JLPT_2,di2BW%43-n
匙,さじ,"숟가락, 밥숟가락",JLPT JLPT_2,ggmZY%(nJ!
座敷,ざしき,"다다미방, 객실",JLPT JLPT_2,gHE$Jut%a_
差し支え,さしつかえ,지장,JLPT JLPT_2,qX^cb43pTg
差し引き,さしひき,"공제, 차감",JLPT_1 JLPT JLPT_2,"n;eVw.,_?J"
刺身,さしみ,생선회,JLPT JLPT_2,o-]lrw>z:B
刺す,さす,찌르다,JLPT JLPT_2,A0r!%n.b)E
流石,さすが,역시,JLPT JLPT_2,gcnvOm#<j9
撮影,さつえい,촬영,JLPT JLPT_2,G!OhK*g%$p
雑音,ざつおん,잡음,JLPT JLPT_2,o!*<keFQ(
さっさと,さっさと,빨랑빨랑,JLPT JLPT_2,s%v?jJ#PZ?
